명칭,주소,위도,경도,개요,class,tag1,tag2,tag3,tag4,tag5,is_unique,tags,input_text,summary
은하수 관광농원,경상북도 김천시 안간1길 760,36.00287656,127.954899,"은하수 관광농원은 경북 김천시 부항면 두산리에 자리 잡았다. 
캠핑장에는 파쇄석과 데크로 이뤄진 오토캠핑 사이트 10면이 마련돼 있다. 사이트 크기는 가로 7m 세로 8m로 널찍하다. 카라반 동반 입장은 불가능하지만, 개인 트레일러는 가능하다. 몇 발자국만 걸어가면 계곡이 형성돼 있어 여름철 물놀이를 하기 좋다. 개별 화장실과 샤워실이 있어서 깔끔하고 편리하다. 주변에는 부항댐 출렁다리, 수도산자연휴양림이 있어 연계 여행에 나서기 수월하다.",1,#자연,#감성스팟,#산책힐링,,,0,#자연 #감성스팟 #산책힐링  ,"은하수 관광농원은 경북 김천시 부항면 두산리에 자리 잡았다. 
캠핑장에는 파쇄석과 데크로 이뤄진 오토캠핑 사이트 10면이 마련돼 있다. 사이트 크기는 가로 7m 세로 8m로 널찍하다. 카라반 동반 입장은 불가능하지만, 개인 트레일러는 가능하다. 몇 발자국만 걸어가면 계곡이 형성돼 있어 여름철 물놀이를 하기 좋다. 개별 화장실과 샤워실이 있어서 깔끔하고 편리하다. 주변에는 부항댐 출렁다리, 수도산자연휴양림이 있어 연계 여행에 나서기 수월하다. #자연 #감성스팟 #산책힐링","경북 김천시의 은하수 관광농원 내 캠핑장은 다음과 같습니다.

* 특징: 넓은 사이트(가로 7m, 세로 8m), 개별 화장실 및 샤워실 제공
* 수용 인원: 총 10면의 오토캠핑 사이트 (카라반 입장 불가하나 개인 트레일러 가능)
* 주변 시설: 도보 거리에 계곡, 부항댐 출렁다리, 수도산 자연 휴양림 등 산책 힐링 감성 스팟으로 제격입니다."
수원산오토캠핑장,경기도 포천시  군내면 청군로 2985번길 50-29,37.86278838,127.2393804,"포천 시내에서 멀지 않은 수원산 기슭에 포근히 안겨 있는, 조용하고 한적한 시골 느낌의 아담한 캠핑장이 있다. 캠핑장 옆으로는 계곡이 흐르고 있어, 아이들과 물고기 잡이와 물놀이하기에 좋다. 수원산 오토캠핑장은 3구역으로 나누어진 사이트(계곡 사이트 존, 키즈존, 잣나무 존)를 가지고 있으며, 파쇄석 27면 과 마사토 13면으로 되어있다. 사이트 간 간격이 여유로워 캠핑하는 동안 편안히 지낼 수 있어 좋다. 어린이들의 놀이 천국인 트램펄린과 두 곳의 모래놀이터가 있어, 자연스럽게 시간 가는 줄 모르고 놀이에 열중한다. 여름이면 계곡과 수영장으로 아이들이 몰려가 즐거운 한때를 보내기에 충분하다. 또한 겨울철이면 뒷동산 산책길로 자연스레 눈썰매장이 만들어져 남녀노소 모두 즐거워하는 시간이 온다. 캠핑장 옆으로는 유기농 텃밭이 있어 고추, 상추, 깻잎 등을 먹을 만큼 가져다 먹을 수 있다. 최신시설의 샤워장과 화장실은 24시간 온수 사용이 가능하며, 화장실에는 유아변기가 설치되어 있어 어린이들이 사용하기에 좋다.",1,#자연,#가족나들이,#한적한 산책길,#산책힐링,,0,#자연 #가족나들이 #한적한 산책길 #산책힐링 ,"포천 시내에서 멀지 않은 수원산 기슭에 포근히 안겨 있는, 조용하고 한적한 시골 느낌의 아담한 캠핑장이 있다. 캠핑장 옆으로는 계곡이 흐르고 있어, 아이들과 물고기 잡이와 물놀이하기에 좋다. 수원산 오토캠핑장은 3구역으로 나누어진 사이트(계곡 사이트 존, 키즈존, 잣나무 존)를 가지고 있으며, 파쇄석 27면 과 마사토 13면으로 되어있다. 사이트 간 간격이 여유로워 캠핑하는 동안 편안히 지낼 수 있어 좋다. 어린이들의 놀이 천국인 트램펄린과 두 곳의 모래놀이터가 있어, 자연스럽게 시간 가는 줄 모르고 놀이에 열중한다. 여름이면 계곡과 수영장으로 아이들이 몰려가 즐거운 한때를 보내기에 충분하다. 또한 겨울철이면 뒷동산 산책길로 자연스레 눈썰매장이 만들어져 남녀노소 모두 즐거워하는 시간이 온다. 캠핑장 옆으로는 유기농 텃밭이 있어 고추, 상추, 깻잎 등을 먹을 만큼 가져다 먹을 수 있다. 최신시설의 샤워장과 화장실은 24시간 온수 사용이 가능하며, 화장실에는 유아변기가 설치되어 있어 어린이들이 사용하기에 좋다. #자연 #가족나들이 #한적한 산책길 #산책힐링","수원산 오토캠핑장은 경기도 포천시 일동면에 위치한 소규모 가족 중심 캠핑장으로 다음과 같은 특징을 갖고 있습니다.

* 위치: 포천 시내에서 차로 약 20분 거리에 위치하여 접근성이 좋습니다.
* 규모: 총 40면의 사이트를 갖추고 있으며, 계곡사이트존, 키즈존, 잣나무존 등 세 구역으로 나뉘어 있습니다.
* 시설: 넓은 사이트 간격, 깨끗한 샤워장과 화장실(유아 변기 포함), 무료 와이파이, 전기 등 편의 시설을 제공합니다.
* 즐길거리: 계곡물놀이, 수영장, 트램펄린, 모래 놀이터, 유기농 텃밭 체험, 산책로 및 등산로를 이용할 수 있습니다.
* 기타: 365일 운영하며, 예약은 온라인으로 가능합니다.

이러한 요소들로 인해 수원산 오토캠핑장은 자연 속에서 가족과 함께 힐링할 수 있는 공간으로 인기가 많습니다. 특히 어린이를 동반한 가족 단위 캠퍼들에게 추천됩니다."
한송오토캠핑장,경기도 가평군 설악면 묵안로 1012,37.60137975,127.5350805,"경기도 가평군 설악면에 위치한 한송오토캠핑장은 캠핑장 주위를 흐르는 미원천에서 여름 물놀이를 하기에 좋은 곳이다. 근처 산으로 가볍게 등산을 떠나기 좋고, 밤에는 별을 보기에 좋은 힐링 캠핑장이다. 동계캠핑이 가능하며 부대시설로는 매점, 화장실, 샤워시설, 개수대가 설치되어 있으며 온수가 제공된다.",1,#자연,#산책힐링,#등산,,,0,#자연 #산책힐링 #등산  ,"경기도 가평군 설악면에 위치한 한송오토캠핑장은 캠핑장 주위를 흐르는 미원천에서 여름 물놀이를 하기에 좋은 곳이다. 근처 산으로 가볍게 등산을 떠나기 좋고, 밤에는 별을 보기에 좋은 힐링 캠핑장이다. 동계캠핑이 가능하며 부대시설로는 매점, 화장실, 샤워시설, 개수대가 설치되어 있으며 온수가 제공된다. #자연 #산책힐링 #등산","한송오토캠핑장은 경기도 가평군에 자리 잡은 곳으로 자연 친화적인 환경에서 다양한 야외 활동을 즐길 수 있는 장소입니다.

1. 미원천에서 여름철 물놀이 가능: 캠핑장 주변을 흐르는 천이 있어 더운 날씨에 물놀이를 즐기기에 좋습니다.

2. 가벼운 등산 코스: 인근의 산들을 활용한 산책 및 등산이 가능합니다.

3. 별 관측 명소: 맑은 하늘 아래서 밤하늘의 별을 감상할 수 있습니다.

4. 편의 시설 완비: 매점, 화장실, 샤워실, 취사장 등이 잘 갖춰져 있고 온수도 사용 가능합니다.

5. 사계절 운영: 겨울에도 캠핑을 할 수 있도록 시설을 갖추고 있습니다.

이러한 특징 덕분에 가족 단위 방문객이나 친구들과 함께 자연 속에서 휴식을 취하고 싶은 사람들에게 추천할 만한 곳입니다."
국제 롤러스케이트장,인천광역시 서구 청라에메랄드로 99,37.53366065,126.6557431,"국제 롤러스케이트장은 인천 청라국제도시에 있는 대형 롤러 링크장이다. 80년대 롤러장을 연상시키는 추억의 공간이 아닌 미국의 현대 팝아트와 스포츠 문화를 즐기는 것 같은 서구적 이미지가 더 강한 곳이다. 높은 천장과 화려한 조명 등으로 개방감을 더욱 살렸다. 링크장 내에는 스피드를 즐기고 싶은 링크 트랙과 유아들을 위한 안전한 키즈존으로 나누어져 있으며, 엠엘비(MLB) 키즈파티 존도 마련되어 있어 각종 쇼와 파티가 열린다.",1,#자연,#가족나들이,#레트로,,,1,#자연 #가족나들이 #레트로  ,"국제 롤러스케이트장은 인천 청라국제도시에 있는 대형 롤러 링크장이다. 80년대 롤러장을 연상시키는 추억의 공간이 아닌 미국의 현대 팝아트와 스포츠 문화를 즐기는 것 같은 서구적 이미지가 더 강한 곳이다. 높은 천장과 화려한 조명 등으로 개방감을 더욱 살렸다. 링크장 내에는 스피드를 즐기고 싶은 링크 트랙과 유아들을 위한 안전한 키즈존으로 나누어져 있으며, 엠엘비(MLB) 키즈파티 존도 마련되어 있어 각종 쇼와 파티가 열린다. #자연 #가족나들이 #레트로","인천 청라의 국제롤러스케이트장은 서구적 분위기의 대형 롤러장으로, 높은 천장과 조명으로 개방감이 좋습니다. 이곳은 스피드 트랙과 키즈존이 구분돼 있고, MLB 키즈파티룸에서는 다양한 이벤트가 열립니다.

- 태그: #인천청라 #대형롤러장 #서구적이미지 #개방감 #스피드트랙 #키즈존 #엠엘비파티룸 #이벤트"
자연과힐링,강원특별자치도 횡성군 봉덕로299번길 65,37.57538929,128.183642,"자연과힐링은 횡성에 위치한 리조트형 시설로, 자연 속에서 남녀노소 모두 휴식을 누릴 수 있도록 준비되어 있다. 카라반은 물론 개별 풀빌라, 독채 복층형 펜션 등 다양한 숙박 시설이 있고, 6,600㎡의 넓은 부지에 워터파크, 인조 잔디 운동장, 어린이 실내외 놀이터, 카페, 스크린 골프장, 노래방, 편의점 등 다양한 시설을 갖추고 있다. 카라반은 총 4개로 규모는 작지만 독립된 데크가 있어 연인끼리, 가족끼리 캠핑 기분을 낼 수 있다.
※ 반려동물 동반불가",1,#가족나들이,#자연,#산책힐링,#데이트스팟,#감성 카페거리,0,#가족나들이 #자연 #산책힐링 #데이트스팟 #감성 카페거리,"자연과힐링은 횡성에 위치한 리조트형 시설로, 자연 속에서 남녀노소 모두 휴식을 누릴 수 있도록 준비되어 있다. 카라반은 물론 개별 풀빌라, 독채 복층형 펜션 등 다양한 숙박 시설이 있고, 6,600㎡의 넓은 부지에 워터파크, 인조 잔디 운동장, 어린이 실내외 놀이터, 카페, 스크린 골프장, 노래방, 편의점 등 다양한 시설을 갖추고 있다. 카라반은 총 4개로 규모는 작지만 독립된 데크가 있어 연인끼리, 가족끼리 캠핑 기분을 낼 수 있다.
※ 반려동물 동반불가 #가족나들이 #자연 #산책힐링 #데이트스팟 #감성 카페거리","횡성에 위치한 '자연과 힐링' 리조트는 다양한 숙박시설과 워터파크, 운동장 등의 레저시설을 제공합니다.

- 특징: 카라반, 풀빌라, 펜션 등 다양한 숙소 옵션 제공
- 부대시설: 워터파크, 운동장, 놀이터를 비롯해 카페와 노래방까지 구비
- 주의사항: 반려동물 출입 금지

이러한 요소들은 가족 나들이뿐만 아니라 감성적인 분위기를 원하는 커플에게도 적합한 장소입니다. 또한 산책로도 마련돼 있어 자연 속에서의 여유로운 시간을 보낼 수 있습니다."
트리독스 반려견 전용 캠핑장,경상북도 고령군 쌍림면 용당길 42-56,35.65052426,128.2300981,"경북 고령군에 위치한 반려견 전용 시설로 반려견과 함께하는 오토캠핑과 민박, 당일 피크닉을 즐길수 있다. 캠핑 사이트를 잔디, 파쇄석, 마사토 사이트 세곳으로 나누어 놓아 복잡하지 않은 환경을 조성해 놓았다. 또한 단독사이트 세곳이 있어 보다 프라이빗한 캠핑을 즐길수 있는것이 장점이다.반려견과 함께 즐길수 있는 수영장과 반려견 셀프 목욕시설은 별도 요금없이 무료로 사용할 수 있다. 다른 캠핑장과 제일 차별화 되는것은 세코스로 조성된 반려견과 함께하는 산책로가 있다는 것으로 제일 큰 장점이 되겠다. 캠핑장 주변에는 고령 고아리 벽화, 고분 고령 대가야유적지 등 관광지가 있다.",1,#유적지,#산책힐링,#자연,#로컬피크닉,,0,#유적지 #산책힐링 #자연 #로컬피크닉 ,"경북 고령군에 위치한 반려견 전용 시설로 반려견과 함께하는 오토캠핑과 민박, 당일 피크닉을 즐길수 있다. 캠핑 사이트를 잔디, 파쇄석, 마사토 사이트 세곳으로 나누어 놓아 복잡하지 않은 환경을 조성해 놓았다. 또한 단독사이트 세곳이 있어 보다 프라이빗한 캠핑을 즐길수 있는것이 장점이다.반려견과 함께 즐길수 있는 수영장과 반려견 셀프 목욕시설은 별도 요금없이 무료로 사용할 수 있다. 다른 캠핑장과 제일 차별화 되는것은 세코스로 조성된 반려견과 함께하는 산책로가 있다는 것으로 제일 큰 장점이 되겠다. 캠핑장 주변에는 고령 고아리 벽화, 고분 고령 대가야유적지 등 관광지가 있다. #유적지 #산책힐링 #자연 #로컬피크닉","고령군 소재의 반려견 동반 가능 캠핑장으로, 오토캠핑·민박·당일 피크닉 시설을 제공합니다. 잔디·파쇄석·마사토 및 단독사이트가 마련되어 있으며, 수영장·셀프 목욕시설을 무료 이용할 수 있습니다. 3개 코스의 산책로도 제공되며, 인근에 유적지도 자리 잡고 있습니다.

* 특징: 반려동물 동반 / 산책 힐링 / 자연 친화 / 로컬 피크닉"
깃대캠핑장,충청북도 보은군 마로면 세중기대로 261-128,36.39944534,127.8060541,"깃대 캠핑장은 충북 보은군 마로면에 자리 잡고 있다. 보은군청을 기점으로 18Km가량 떨어져 있다. 자동차를 타고 보청대로, 청산관기로, 세중기대로를 차례로 거치면 닿는다. 도착까지 걸리는 시간은 40분 안팎이다. 녹색농촌체험마을인 기대리 선애빌 내에 자리한 이곳에 발을 들이면 울창한 숲속의 평화로운 기운이 온몸을 감싼다. 사면이 산으로 둘러싸인 덕택에 더없이 자연친화적이다. 지척에 낚시를 할 수 있는 보청천이 있어 캠핑과 낚시를 즐기고자 이곳을 찾는 이들도 많다. 캠핑장에는 일반야영장 21면을 마련했다. 바닥은 배수가 탁월하고 습하지 않은 콩자갈으로 이뤄졌으며, 사이트 크기는 가로 5m 세로 8m다. 봄부터 가을까지만 문을 열며, 매년 12월부터 이듬해 2월까지 휴장에 돌입한다. 개인 카라반 동반 입장은 불가능하지만, 트레일러는 가능하다.",1,#자연,#체험가득,#감성스팟,,,1,#자연 #체험가득 #감성스팟  ,"깃대 캠핑장은 충북 보은군 마로면에 자리 잡고 있다. 보은군청을 기점으로 18Km가량 떨어져 있다. 자동차를 타고 보청대로, 청산관기로, 세중기대로를 차례로 거치면 닿는다. 도착까지 걸리는 시간은 40분 안팎이다. 녹색농촌체험마을인 기대리 선애빌 내에 자리한 이곳에 발을 들이면 울창한 숲속의 평화로운 기운이 온몸을 감싼다. 사면이 산으로 둘러싸인 덕택에 더없이 자연친화적이다. 지척에 낚시를 할 수 있는 보청천이 있어 캠핑과 낚시를 즐기고자 이곳을 찾는 이들도 많다. 캠핑장에는 일반야영장 21면을 마련했다. 바닥은 배수가 탁월하고 습하지 않은 콩자갈으로 이뤄졌으며, 사이트 크기는 가로 5m 세로 8m다. 봄부터 가을까지만 문을 열며, 매년 12월부터 이듬해 2월까지 휴장에 돌입한다. 개인 카라반 동반 입장은 불가능하지만, 트레일러는 가능하다. #자연 #체험가득 #감성스팟","**깃대캠핑장**

* 위치: 충북 보은군 마로면 기대리 선애빌 내
* 이동수단 및 소요시간: 차량 이용 시 약 40분 (보은군청 출발 기준)
* 특징: 울창한 숲 속, 자연 친화적 환경, 보청천 인접하여 낚시 가능
* 시설: 일반 야영장 21면(콩자갈 바닥), 사이트 크기 가로 5m x 세로 8m 
* 운영 시기: 봄~가을 (매년 12월 - 2월 휴장)
* 기타: 개인 카라반 입장 불가, 트레일러 가능

#자연 #체험가득 #감성스팟"
산속에 관광농원,경기도 동두천시 안흥로26번길 283 (안흥동),37.93836202,127.0381855,"산속에 관광농원은 서울에서 가까운 캠핑장으로 동두천 마차산 산속에 있다. 지하철 1호선 동두천역에서 가까워서 접근성이 좋다. 당일 피크닉 존을 비롯해, 테크 사이트 9개, 파쇄석 사이트 15개를 갖추고 있다. 주차는 사이트 옆에 할 수 없어, 짐을 내린 후 주차장으로 옮기거나 카트를 이용해야 한다. 농원 시설은 많지 않지만, 어린이들 놀 만한 장치는 여럿 있다. 인근에 소요산, 재인폭포, 전곡선사박물관 등이 가볼 만하다.",1,#자연,#가족나들이,#박물관,#로컬피크닉,,1,#자연 #가족나들이 #박물관 #로컬피크닉 ,"산속에 관광농원은 서울에서 가까운 캠핑장으로 동두천 마차산 산속에 있다. 지하철 1호선 동두천역에서 가까워서 접근성이 좋다. 당일 피크닉 존을 비롯해, 테크 사이트 9개, 파쇄석 사이트 15개를 갖추고 있다. 주차는 사이트 옆에 할 수 없어, 짐을 내린 후 주차장으로 옮기거나 카트를 이용해야 한다. 농원 시설은 많지 않지만, 어린이들 놀 만한 장치는 여럿 있다. 인근에 소요산, 재인폭포, 전곡선사박물관 등이 가볼 만하다. #자연 #가족나들이 #박물관 #로컬피크닉","이 곳은 서울 근교에 위치한 관광농원으로, 동두천 마차산 자락에 자리 잡고 있습니다.

- 특징: 총 24개의 사이트(데크 9 + 파쇄석 15)와 주차 공간이 분리되어 있어 짐 이동 필요
- 주변 관광지: 소요산, 재인폭포, 전곡 선사 박물관 등 다양한 볼거리 제공

또한 어린이들을 위한 놀이시설도 마련되어 있으며 자연 친화적인 환경에서 가족들과 함께 나들이하기 좋은 장소입니다. 또한 로컬 푸드를 즐길 수 있는 피크닉 공간도 제공하고 있습니다."
샌드파인골프클럽(샌드파인GC),강원특별자치도 강릉시 저동등길 53,37.79627989,128.8810418,"대자연이 살아 숨 쉬는 강원도 그 중심에 위치한 샌드파인 골프클럽은 명문 골프클럽이다. 금강송이 어우러진 수려한 조경과 동해를 내려다볼 수 있는 필드는 황홀한 풍광을 자랑하며, 방문객의 품격을 한층 더 돋보이게 한다. 18홀 코스는 공략의 묘미와 코스의 과학을 고려해 설계되었으며, 각기 다른 18가지 이야기로 구성되어 있다. 매 홀마다 새로운 전략을 요구하는 그린 위에서 호쾌한 샷을 즐길 수 있는 골프장이다.",1,#자연,#감성스팟,#산책힐링,,,0,#자연 #감성스팟 #산책힐링  ,"대자연이 살아 숨 쉬는 강원도 그 중심에 위치한 샌드파인 골프클럽은 명문 골프클럽이다. 금강송이 어우러진 수려한 조경과 동해를 내려다볼 수 있는 필드는 황홀한 풍광을 자랑하며, 방문객의 품격을 한층 더 돋보이게 한다. 18홀 코스는 공략의 묘미와 코스의 과학을 고려해 설계되었으며, 각기 다른 18가지 이야기로 구성되어 있다. 매 홀마다 새로운 전략을 요구하는 그린 위에서 호쾌한 샷을 즐길 수 있는 골프장이다. #자연 #감성스팟 #산책힐링","강원도에 위치한 샌드파인 골프클럽은 금강송 경관과 동해 전망으로 유명한 18홀 규모의 명문 골프 클럽입니다.

 - 특징: 금강송, 동해 전망, 다양한 전략적 요소가 담긴 18홀 코스

 - 태그: #자연 #감성스팟 #산책힐링"
허브하우스금오산힐링타운,경상북도 김천시 남면 우장길 448,36.09991027,128.2764567,"금오산 힐링타운은 경북 김천시 남면에 자리했다. 김천시청을 기점으로 18km가량 떨어졌으며, 영남대로와 우장길을 거친다. 소요 시간은 약 30분이다. 이곳은 노래방, 스크린 골프, 족구장, 탁구장, 찜질방, 식당, 카페 등 즐길 거리가 다양하다. 이 덕분에 연계 관광을 염두에 두지 않았다면 캠핑을 즐기며 부대시설을 이용하는 것만으로도 만족감을 느낄 수 있다. 캠핑장은 글램핑 19개 동, 일반 야영장 5면으로 꾸몄다. 글램핑 객실 내부에는 침대, 냉난방기, TV, 냉장고, 취사도구, 조리도구를 배치했다. 외부에는 전용 데크가 있어 프라이빗한 바비큐 파티가 가능하다. 가로 6m 세로 4m의 파쇄석으로 이뤄진 일반 야영장은 화로와 전기를 사용할 수 있다. 소정의 추가 요금을 내면 반려동물 출입이 가능하다.
캠핑장 주변으로 금오산 국립공원, 금오랜드 등 관광지가 많다.",1,#자연,#산책힐링,#감성 카페거리,,,1,#자연 #산책힐링 #감성 카페거리  ,"금오산 힐링타운은 경북 김천시 남면에 자리했다. 김천시청을 기점으로 18km가량 떨어졌으며, 영남대로와 우장길을 거친다. 소요 시간은 약 30분이다. 이곳은 노래방, 스크린 골프, 족구장, 탁구장, 찜질방, 식당, 카페 등 즐길 거리가 다양하다. 이 덕분에 연계 관광을 염두에 두지 않았다면 캠핑을 즐기며 부대시설을 이용하는 것만으로도 만족감을 느낄 수 있다. 캠핑장은 글램핑 19개 동, 일반 야영장 5면으로 꾸몄다. 글램핑 객실 내부에는 침대, 냉난방기, TV, 냉장고, 취사도구, 조리도구를 배치했다. 외부에는 전용 데크가 있어 프라이빗한 바비큐 파티가 가능하다. 가로 6m 세로 4m의 파쇄석으로 이뤄진 일반 야영장은 화로와 전기를 사용할 수 있다. 소정의 추가 요금을 내면 반려동물 출입이 가능하다.
캠핑장 주변으로 금오산 국립공원, 금오랜드 등 관광지가 많다. #자연 #산책힐링 #감성 카페거리","경북 김천시에 위치한 **금오산 힐링타운**은 다양한 부대시설(노래방, 스크린골프, 족구장, 탁구장, 찜질방 등)과 함께 글램핑 및 일반 야영장을 제공하는 공간입니다.

* 주소: 경북 김천시 남면
* 이동시간: 김천시청에서 차량으로 약 30분 (18km)
* 주요 시설: 노래방, 스크린 골프, 족구장, 탁구장, 찜질방, 식당, 카페 등
* 캠핑장: 글램핑 19동, 일반 야영장 5면 / 반려동물 동반 가능(추가 요금 발생)

또한 캠핑장 인근에는 금오산 국립공원과 금오랜드 등의 관광 명소가 위치하고 있습니다. 자연 속에서 여유로운 산책과 감성적인 카페 거리를 즐기고 싶은 분들에게 추천합니다."
